state,jurisdiction_id,ahj,cell_count,project_families,strict_classifications,source_statuses
AR,us-ar-paragould,Paragould,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-pea_ridge,Pea Ridge,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-pine_bluff,Pine Bluff,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-pocahontas,Pocahontas,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-rogers,Rogers,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-russellville,Russellville,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-searcy,Searcy,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-sherwood,Sherwood,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-siloam_springs,Siloam Springs,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-springdale,Springdale,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-texarkana,Texarkana,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-west_memphis,West Memphis,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AR,us-ar-wynne,Wynne,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-apache_junction,Apache Junction,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-avondale,Avondale,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-buckeye,Buckeye,1,reroof,EXACT_COMPLETE,PUBLISHABLE
AZ,us-az-bullhead_city,Bullhead City,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-casa_grande,Casa Grande,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-chandler,Chandler,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-cochise_county,Cochise County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-coconino_county,Coconino County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-douglas,Douglas,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-el_mirage,El Mirage,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-eloy,Eloy,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-flagstaff,Flagstaff,1,reroof,EXACT_COMPLETE,PUBLISHABLE
AZ,us-az-florence,Florence,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-fountain_hills,Fountain Hills,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-gilbert,Gilbert,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-glendale,Glendale,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-goodyear,Goodyear,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-kingman,Kingman,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-lake_havasu_city,Lake Havasu City,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-marana,Marana,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-maricopa_city,Maricopa City,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-maricopa_county,Maricopa County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-mesa,Mesa,1,residential_remodel,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-mohave_county,Mohave County,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-nogales,Nogales,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
AZ,us-az-oro_valley,Oro Valley,1,commercial_tenant_improvement,EXACT_PARTIAL,PUBLISHABLE
